"地名,センター,一般ごみ,燃えないごみ・あきかん・あきびん・容器包装プラスチック,燃える粗大ごみ・ペットボトル・容器包装プラスチック"
"本町１丁目,,月 木,火1,火3"
"本町２丁目,,月 木,火1,火3"
"本町３丁目,,火 金,水1,水3"
"本町４丁目,,火 金,水1,水3"
"本町５丁目,,水 土,木1,木3"
"本町６丁目,,水 土,木1,木3"
"若松町,,月 木,火1,火3"
"横宮町,,月 木,火1,火3"
"押野,,月 木,火1,火3"
"高橋町,,月 木,火2,火4"
"扇が丘,,月 木,火2,火4"
"住吉町,,月 木,火2,火4"
"菅原町,,月 木,火2,火4"
"菅原団地,,月 木,火2,火4"
"白山町,,火 金,水1,水3"
"粟田,,火 金,水1,水3"
"矢作,,火 金,水1,水3"
"藤平田,,火 金,水1,水3"
"下林,,火 金,水1,水3"
"中林,,火 金,水2,水4"
"新庄,,火 金,水2,水4"
"藤平,,火 金,水2,水4"
"上林,,火 金,水2,水4"
"清金,,火 金,水2,水4"
"末松,,火 金,水2,水4"
"柳町,,火 金,水2,水4"
"三納,,水 土,木1,木3"
"位川,,水 土,木1,木3"
"太平寺,,水 土,木1,木3"
"稲荷,,水 土,木1,木3"
"堀内,,水 土,木1,木3"
"押越,,水 土,木1,木3"
"田尻町,,水 土,木2,木4"
"三日市町,,水 土,木2,木4"
"二日市町,,水 土,木2,木4"
"徳用町,,水 土,木2,木4"
"郷町,,水 土,木2,木4"
"蓮花寺町,,水 土,木2,木4"
"長池,,水 土,木2,木4"
"野代,,水 土,木2,木4"
"あすなろ団地,,水 土,木2,木4"
"御経塚,,水 土,木2,木4"



※上記データは通常の日程のみを掲載しています。
　 年末年始の収集は通常とは異なりますので最新のごみカレンダーを参照してください。
